podName,nodeName,imageName,podStartTime,pullingTime,pulledTime,pullImageTotalTime
imagepullns/multi100m200testrzcfg-84b684d749-5fgcp,cnnorth1a-pod16-common001-cna045,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:08,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testrzcfg-84b684d749-r9ltb,cnnorth1a-pod16-common001-cna013,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:09,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200test4b6mp-6b6c94d6b9-4rk8j,cnnorth1a-pod16-common001-cna071,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,2019-01-18 18:30:31,2019-01-18 18:30:31,0
imagepullns/multi100m200test4b6mp-6b6c94d6b9-frkws,cnnorth1a-pod16-common001-cna039,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:04,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testbjmzl-5fd7448897-895nx,cnnorth1a-pod16-common001-cna057,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,2019-01-18 18:29:05,2019-01-18 18:29:08,3000
imagepullns/multi100m200testbjmzl-5fd7448897-tjmmh,cnnorth1a-pod16-common001-cna065,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:04,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testff4tv-c8cddd78f-9pccc,cnnorth1a-pod16-common001-cna061,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:10,2019-01-18 18:29:22,2019-01-18 18:29:23,1000
imagepullns/multi100m200testff4tv-c8cddd78f-fxbq9,cnnorth1a-pod16-common001-cna072,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:06,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testrzcfg-84b684d749-9m782,cnnorth1a-pod16-common001-cna041,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:09,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testrzcfg-84b684d749-wj6hs,cnnorth1a-pod16-common001-cna005,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:09,2019-01-18 18:29:15,2019-01-18 18:29:15,0
imagepullns/multi100m200test4b6mp-6b6c94d6b9-mn7dq,cnnorth1a-pod16-common001-cna054,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:04,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testrzcfg-84b684d749-4zd8s,cnnorth1a-pod16-common001-cna069,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:11,2019-01-18 18:29:16,2019-01-18 18:29:19,3000
imagepullns/multi100m200testrzcfg-84b684d749-6b9q8,cnnorth1a-pod16-common001-cna067,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:09,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testrzcfg-84b684d749-dhnqm,cnnorth1a-pod16-common001-cna014,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:06,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testrzcfg-84b684d749-frpnz,cnnorth1a-pod16-common001-cna071,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:09,2019-01-18 18:29:22,2019-01-18 18:29:24,2000
imagepullns/multi100m200testrzcfg-84b684d749-jhbvq,cnnorth1a-pod16-common001-cna039,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:11,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testrzcfg-84b684d749-mt97d,cnnorth1a-pod16-common001-cna072,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:07,0001-01-01 00:00:00,0001-01-01 00:00:00,0
